variant_number,headline,body,cta
1,"Paid before the harvest, not after","Wayfarer pays farmers a fixed price before the coffee is even picked. No gamble on how the season sells, for them or for you.",Start your first bag free
2,We'll tell you when a lot isn't great,"This season's lot from Huila was a little uneven, we said so in the notes. That's the kind of coffee company we are.",Start your first bag free
3,Where did your coffee actually come from?,"Every bag lists the farm, the date it was paid for, and the price. No guessing, no vague sourcing claims.",Start your first bag free
4,"Coffee subscriptions, minus the mystery",You get a traceable bag every month and a farmer who got paid weeks before harvest. That's the whole pitch.,Start your first bag free
5,Try it. Cancel it. No hard feelings.,"Your first bag is free with any plan. If it's not for you, cancel before the next one ships.",Start your first bag free
6,Most coffee brands wait to see if it sells,"We pay farmers upfront, before harvest, regardless of how the season turns out. It costs us more. We think it's worth it.",Start your first bag free
7,"This season's lot: Nariño, picked in April","Bright, a little tart, nothing fancy about how we're describing it. Paid for in February, before a single cherry was picked.",Start your first bag free
8,What does 'fair price' actually mean here?,"It means farmers are paid before harvest, at a fixed rate, whether the crop is excellent or just okay.",Start your first bag free
9,"No poetry, just paperwork you can check","Every subscription includes the purchase date, the price paid, and the farm name. Ask us anything, we'll show you the receipts.",Start your first bag free
10,"Your coffee, unhurried and traceable","We're not chasing trends or rushing harvests. Just a steady, fairly paid supply chain and a bag that shows up when it says it will.",Start your first bag free
11,A mediocre harvest still means a paid farmer,"Some seasons are better than others. Either way, the farmer already got paid before the first cherry was picked.",Start your first bag free
12,First bag's on us,"Start any Wayfarer plan and the first bag is free. Cancel whenever, no questions.",Start your first bag free
13,We paid for this season's lot in March,"It ships to you in June. That gap is the whole point, farmers get paid before demand is even known.",Start your first bag free
14,Not artisanal. Just accountable.,"We're not going to describe our coffee's journey. We'll just tell you who grew it, when they got paid, and how much.",Start your first bag free
15,Compare our contract to theirs,Most coffee brands pay after the harvest sells. We pay before it's picked. Read the difference for yourself.,Start your first bag free
16,"One bag, one farm, one straight answer","We don't blend lots to hide a bad season. If it's this season's harvest, you'll know exactly whose it is.",Start your first bag free
17,Coffee that doesn't ask you to hurry,"No countdowns, no 'last chance' bags. Just a subscription you can start, pause, or leave whenever it suits you.",Start your first bag free
18,Ask us what 'paid before harvest' costs us,It means we take on the risk of a bad season instead of the farmer. We'll tell you the numbers if you want them.,Start your first bag free
19,A subscription with nothing to hide,"Traceable lots, upfront payment dates, and a first bag that's free. That's the whole offer, no fine print.",Start your first bag free
20,Try this season's lot before you commit,Get your first bag free with any plan and decide for yourself if it's worth staying. Cancel anytime if it's not.,Start your first bag free
